"x"
"countpermits"
"Median_HHInc"
"percent_NoHS"
"percent_HS"
"percent_SomeCollege"
"percent_bach"
"percent_GradProf"
"percent_ownOcc"
"percent_rentOcc"
"percent_Own_Pre2010"
"percent_Own_2015to2018"
"percent_Rent_Pre2010"
"percent_Rent_2015to2018"
"Sanitation.nn"
"Service.nn"
"Vacant.nn"
"ccDistance"
"permit.isSig"
"permit.isSig.dist"
